handle,datasetid,acc.mean.mod,acc.mean.old,acc.shape.mod,acc.shape.old,mem.strength,mem.mean,hiatus,thick,age.type,run,suitable,ndates,success,notes
LILYMI,15035,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNCLEB,15167,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNCLEC,15168,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNCLE4,15169,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNCLED,15219,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNCLEL,15269,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNBCSC,15228,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNCLSQ,15252,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNCHLH,15254,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNOTCL,15256,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNCVTL,15266,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNHBLS,15270,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNWSSO,15273,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
WILLIAMJ,15281,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNHNLL,15294,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
EMRICK,15302,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
ESOLDIER,15309,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
